Title,Author,My Rating,Average Rating,Publisher,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Year Read,Month Read
Think Again,Jacqueline Wilson,3,3.29,Transworld Digital,344,2024,,19/11/2024,16/11/2024,2024,11
The Rachel Incident,Caroline O'Donoghue,4,4.09,Knopf,304,2023,2023,11/11/2024,02/11/2024,2024,11
Manifest: 7 Steps to Living Your Best Life,Roxie Nafousi,3,4.24,Michael Joseph,192,2022,2022,26/10/2024,26/10/2024,2024,10
Evenings and Weekends,Oisín McKenna,3,3.87,Mariner Books,352,2024,2024,15/10/2024,26/09/2024,2024,10
Green Dot,Madeleine Gray,5,3.69,Henry Holt and Co.,320,2024,2024,08/11/2024,04/11/2024,2024,11
You Are Here,David Nicholls,4,4.04,WF Howes,8,2024,2024,30/09/2024,29/09/2024,2024,9
"A ​Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas,5,4.47,Bloomsbury Publishing,757,2021,2021,27/09/2024,16/09/2024,2024,9
"A Court of Frost and Starlight (A Court of Thorns and Roses, #3.5)",Sarah J. Maas,3,3.74,Bloomsbury Publishing,272,2020,2018,16/09/2024,02/09/2024,2024,9
I Who Have Never Known Men,Jacqueline Harpman,3,4.22,Vintage,208,2019,1995,10/09/2024,06/09/2024,2024,9
"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,4,4.47,Bloomsbury Publishing,703,2020,2017,02/09/2024,27/08/2024,2024,9
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,4,4.65,Bloomsbury Publishing,626,2020,2016,22/08/2024,16/08/2024,2024,8
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,3,4.18,Bloomsbury Publishing,419,2020,2015,15/08/2024,01/08/2024,2024,8
"It Ends with Us (It Ends with Us, #1)",Colleen Hoover,3,4.13,Atria Books,386,2016,2016,11/01/2022,14/09/2021,2022,1
Talking at Night,Claire Daverley,3,3.95,Pamela Dorman Books,400,2023,2023,31/07/2024,23/07/2024,2024,7
Counterfeit,Kirstin Chen,3,3.48,William Morrow,288,2022,2022,27/07/2024,09/07/2024,2024,7
Hello Beautiful,Ann Napolitano,5,4.15,The Dial Press,416,2023,2023,23/07/2024,21/04/2024,2024,7
The Details: A Novel,Ia Genberg,3,3.89,HarperVia,144,2023,2022,21/07/2024,18/07/2024,2024,7
The Guest,Emma Cline,4,3.29,Random House,304,2023,2023,18/07/2024,13/07/2024,2024,7
XOXO,Axie Oh,4,3.81,HarperTeen,352,2021,2021,17/07/2024,11/07/2024,2024,7
Little Fires Everywhere,Celeste Ng,5,4.07,Penguin Press,338,2017,2017,03/07/2024,30/04/2021,2024,7
Blue Sisters,Coco Mellors,5,4.05,Fourth Estate,354,2024,2024,13/06/2024,24/04/2024,2024,6
Beach Read,Emily Henry,3,4,Berkley,361,2020,2020,11/06/2024,18/06/2021,2024,6
"Detransition, Baby",Torrey Peters,4,3.94,One World,337,2021,2021,06/06/2024,30/04/2021,2024,6
"The Panic Years: Dates, Doubts, and the Mother of All Decisions",Nell Frizzell,4,3.53,Flatiron Books,272,2021,2021,03/06/2024,08/05/2024,2024,6
Happy Place,Emily Henry,5,3.98,Berkley,400,2023,2023,29/05/2024,23/05/2024,2024,5
Big Swiss,Jen Beagin,3,3.68,Faber & Faber,323,2023,2023,27/05/2024,17/05/2024,2024,5
Untamed,Glennon Doyle,4,3.99,The Dial Press,333,2020,2020,14/05/2024,30/04/2021,2024,5
Small Worlds,Caleb Azumah Nelson,4,4.31,Viking,260,2023,2023,13/05/2024,09/05/2024,2024,5
Salt Slow,Julia Armfield,4,3.98,Picador,193,2019,2019,07/05/2024,05/05/2024,2024,5
You Made a Fool of Death with Your Beauty,Akwaeke Emezi,5,3.55,Washington Square Press,304,2023,2022,07/05/2024,04/05/2024,2024,5
There's No Such Thing as an Easy Job,Kikuko Tsumura,4,3.6,Bloomsbury Publishing,416,2020,2015,05/05/2024,15/07/2022,2024,5
A Woman's Battles and Transformations,Édouard Louis,3,4.14,"Farrar, Straus and Giroux",112,2022,2021,28/04/2024,28/04/2024,2024,4
Swimming Home,Deborah Levy,3,3.42,Penguin Books Ltd,,2018,2011,28/04/2024,23/04/2024,2024,4
After the Sun,Jonas Eika,3,3.17,Riverhead Books,208,2021,2018,22/04/2024,21/04/2024,2024,4
You Be Mother,Meg Mason,4,4.1,Weidenfeld & Nicolson,435,2022,2017,15/04/2024,18/03/2024,2024,4
Between the World and Me,Ta-Nehisi Coates,4,4.4,Spiegel & Grau,152,2015,2015,02/04/2024,27/03/2024,2024,4
Birth Canal,Dias Novita Wuri,4,3.58,Scribe US,160,2023,,23/04/2024,21/04/2024,2024,4
A Woman's Story,Annie Ernaux,3,4.24,Fitzcarraldo Editions,72,2024,1988,21/04/2024,13/03/2023,2024,4
Minor Detail,Adania Shibli,2,4.2,Fitzcarraldo Editions,144,2020,2017,05/04/2024,12/12/2023,2024,4
Romanticise Your Life: How to find joy in the everyday,Beth McColl,3,3.82,Orion Spring,235,2024,,20/04/2024,18/04/2024,2024,4
Hot Milk,Deborah Levy,4,3.48,Bloomsbury USA,218,2016,2015,17/04/2024,16/04/2024,2024,4
Sorrow and Bliss,Meg Mason,5,4.09,4th Estate - AU,352,2021,2020,18/03/2024,01/09/2022,2024,3
"Babel, Or the Necessity of Violence: An Arcane History of the Oxford Translators’ Revolution",R.F. Kuang,5,4.17,Harper Voyager,542,2022,2022,10/03/2024,24/02/2024,2024,3
"It Starts with Us (It Ends with Us, #2)",Colleen Hoover,2,3.86,Atria Books,323,2022,2022,17/02/2024,29/12/2023,2024,2
After the Quake,Haruki Murakami,3,3.77,Naxos Audiobooks,,2007,2000,13/02/2024,10/02/2024,2024,2
Our Missing Hearts,Celeste Ng,4,3.8,Penguin Press,335,2022,2022,08/02/2024,05/02/2023,2024,2
Wandering Souls,Cecile Pin,5,4.15,Fourth Estate Ltd,256,2023,2023,31/01/2024,29/12/2023,2024,1
I'm a Fan,Sheena Patel,3,3.3,Rough Trade Books,207,2022,2022,18/01/2024,11/12/2023,2024,1
Ghost Music,An Yu,5,3.5,Grove Press,240,2023,2022,03/01/2024,30/12/2023,2024,1
How We Disappeared,Jing-Jing Lee,4,4.2,Hanover Square Press,350,2019,2019,13/01/2024,16/01/2022,2024,1
"Really Good, Actually",Monica Heisey,2,3.15,William Morrow,370,2023,2023,29/12/2023,25/12/2023,2023,12
Good Material,Dolly Alderton,3,3.89,Fig Tree,345,2023,2023,23/12/2023,15/12/2023,2023,12
National Trust: Big Outdoors for Little Explorers: Snow,Behl Anne-Kathrin,5,4.75,NOSY,0,2023,,18/12/2023,18/12/2023,2023,12
Elena Knows,Claudia Piñeiro,4,4.07,Charco Press,143,2021,2007,13/12/2023,01/09/2022,2023,12
"If I Had a Unicorn (If I Had A...Series, 3)",Gabby Dawnay,4,3.77,Thames & Hudson,32,2020,2020,13/12/2023,13/12/2023,2023,12
Follow the Trail At the Zoo,Dawn Sirett,3,3.41,DK Children,14,2017,,13/12/2023,13/12/2023,2023,12
"Look, it's Woof Woof Dog (Look, It's…, 2)",Camilla Reid,5,3.96,Nosy Crow,12,2023,,13/12/2023,13/12/2023,2023,12
The Very Hungry Caterpillar Eats Lunch,Eric Carle,3,3.88,World of Eric Carle,24,2022,,13/12/2023,13/12/2023,2023,12
Say Goodnight,Helen Oxbury,3,3.73,Simon and Schuster,8,2009,1987,08/12/2023,08/12/2023,2023,12
"Days at the Morisaki Bookshop (Days at the Morisaki Bookshop, #1)",Satoshi Yagisawa,4,3.65,Harper Perennial,150,2023,2010,08/12/2023,02/12/2023,2023,12
